ID,Charactor,cantonesePhonetic
2861,愲,gwat1
2862,鹄,guk1
2863,鹄,huk6
2864,榾,gwat1
2865,鼓,gu2
2866,嘏,gaa2
2867,嘏,gu2
2868,榖,guk1
2869,縎,gwat1
2870,濲,guk1
2871,臌,gu2
2872,瀔,guk1
2873,盬,gu2
2874,瞽,gu2
2875,固,gu3
2876,故,gu3
2877,顾,gu3
2878,堌,gu3
2879,崮,gu3
2880,梏,guk1
2881,牿,guk1
2882,雇,gu3
2883,痼,gu3
2884,稒,gu3
2885,锢,gu3
2886,瓜,gwaa1
2887,刮,gwaat3
2888,胍,gwaa1
2889,鸹,kut3
2890,劀,gwaat3
2891,緺,gwaa1
2892,騧,waa1
2893,呱,waa1
2894,呱,gu1
2895,剐,waa2
2896,啩,gua3
2897,寡,gwaa2
2898,卦,gwaa3
2899,诖,gwaa3
2900,挂,gwaa3
2901,挂,kwaa3
2902,罣,gwaa3
2903,絓,gwaa3
2904,罫,waa6
2905,罫,gwaai2
2906,褂,gwaa3
2907,褂,kwaa2
2908,乖,gwaai1
2909,拐,gwaai2
2910,夬,gwaai3
2911,怪,gwaai3
2912,关,gwaan1
2913,观,gun1
2914,观,gun3
2915,官,gun1
2916,冠,gun1
2917,冠,gun3
2918,倌,gun1
2919,棺,gun1
2920,瘝,gwaan1
2921,鳏,gwaan1
2922,馆,gun2
2923,痯,gun2
2924,筦,gun2
2925,管,gun2
2926,錧,gun2
2927,毌,gun3
2928,丱,gwaan3
2929,贯,gun3
2930,悺,gun3
2931,惯,gwaan3
2932,掼,gwaan3
2933,涫,gun3
2934,祼,gun3
2935,盥,fun2
2936,盥,gun3
2937,雚,fun2
2938,灌,gun3
2939,爟,gun3
2940,瓘,gun3
2941,矔,gun3
2942,鹳,gun3
2943,罐,gun3
2944,鑵,gun3
2945,光,gwong1
2946,洸,gwong1
2947,桄,gwong1
2948,桄,gwong3
2949,胱,gwong1
2950,銧,gwong1
2951,广,gwong2
2952,犷,gwong2
2953,俇,gwaang6
2954,俇,hong1
2955,逛,gwaang6
2956,逛,kwaang3
2957,归,gwai1
2958,圭,gwai1
2959,妫,gwai1
2960,龟,gwai1
2961,龟,gwan1
2962,龟,gau1
2963,规,kwai1
2964,邽,gwai1
2965,皈,gwai1
2966,闺,gwai1
2967,珪,gwai1
2968,硅,gwai1
2969,硅,zik6
2970,窐,waa1
2971,瑰,gwai1
2972,瑰,gwai3
2973,嫢,kwai1
2974,鲑,gwai1
2975,嶲,seoi5
2976,槻,kwai1
2977,瞡,kwai1
2978,巂,seoi5
2979,騩,gwai1
2980,騩,kwai3
2981,宄,gwai2
2982,氿,gwai2
2983,轨,gwai2
2984,庋,gwai2
2985,庋,gei2
2986,佹,gwai2
2987,匦,gwai2
2988,诡,gwai2
2989,垝,gwai2
2990,姽,gwai2
2991,癸,gwai3
2992,鬼,gwai2
2993,庪,gwai2
2994,庪,gei2
2995,晷,gwai2
2996,厬,gwai2
2997,簋,gwai2
2998,刽,kui2
2999,刿,gwai3
3000,柜,gwai6
3001,柜,geoi2
3002,炅,gwing2
3003,贵,gwai3
3004,桂,gwai3
3005,筀,gai3
3006,溎,gwai3
3007,跪,gwai6
3008,撌,gwai6
3009,瞶,gwai3
3010,禬,kui2
3011,禬,wui6
3012,簂,gwok3
3013,襘,kui2
3014,鳜,gwai3
3015,鳜,kyut3
3016,衮,gwan2
3017,绲,gwan2
3018,辊,gwan2
3019,滚,gwan2
3020,裷,gwan2
3021,蔉,gwan2
3022,鲧,gwan2
3023,棍,gwan3
3024,睔,gwan3
3025,呙,waa1
3026,埚,wo1
3027,郭,gwok3
3028,崞,gwok3
3029,聒,kut3
3030,锅,wo1
3031,墎,gwok3
3032,嘓,gwok3
3033,彉,kwok3
3034,濄,wo1
3035,蝈,gwok3
3036,国,gwok3
3037,帼,gwok3
3038,掴,gwaak3
3039,腘,gwok3
3040,聝,gwik1
3041,虢,gwik1
3042,馘,gwik1
3043,果,gwo2
3044,果,gu2
3045,惈,gwo2
3046,猓,gwo2
3047,椁,gwok3
3048,粿,gwo2
3049,蜾,gwo2
3050,裹,gwo2
3051,輠,gwo2
3052,过,gwo1
3053,过,gwo3
3054,妎,gaai3
3055,铪,hap6
3056,哈,haa1
3057,哈,haa5
3058,哈,kaa1
3059,哈,haai1
3060,咍,hoi1
3061,嗨,hei1
3062,嗨,hoi1
3063,孩,hoi4
3064,骸,haai4
3065,骸,hoi4
3066,海,hoi2
3067,胲,goi2
3068,醢,hoi2
3069,亥,hoi6
3070,骇,haai5
3071,骇,hoi4
3072,骇,hoi5
3073,害,hoi6
3074,害,hot3
3075,氦,hoi6
3076,嗐,haai6
3077,駴,haai5
3078,顸,hon1
3079,蚶,ham1
3080,酣,ham4
3081,谽,ham1
3082,憨,ham1
3083,鼾,hon4
3084,邗,hon4
3085,含,ham4
3086,邯,ham4
3087,邯,hon4
3088,函,haam4
3089,咁,gam2
3090,咁,gam3
3091,虷,gon1
3092,虷,hon4
3093,唅,ham3
3094,唅,ham4
3095,涵,haam4
3096,焓,ham4
3097,寒,hon4
3098,韩,hon4
3099,甝,hon4
3100,罕,hon2
3101,喊,haam3
3102,蔊,hon6
3103,鬫,haam2
3104,汉,hon3
3105,扞,hon6
3106,汗,hon4
3107,汗,hon6
3108,闬,hon6
3109,旱,hon5
3110,悍,hon6
3111,捍,hon5
3112,捍,hon6
3113,涆,hon6
3114,晥,wun5
3115,淊,jim1
3116,焊,hon6
3117,琀,ham3
3118,菡,aam2
3119,菡,haam5
3120,睅,hon6
3121,颔,ham5
3122,馯,hon4
3123,馯,hon6
3124,撖,hon6
3125,蜭,ham5
3126,暵,hon3
3127,熯,hon3
3128,憾,ham6
3129,撼,ham6
3130,翰,hon6
3131,螒,hon6
3132,顄,ham5
3133,駻,hon6
3134,瀚,hon6
3135,鶾,hon4
3136,夯,haang1
3137,迒,hong4
3138,杭,hong4
3139,绗,hong4
3140,笐,hong4
3141,航,hong4
3142,蚢,hong4
3143,颃,hong4
3144,沆,hong4
3145,茠,hou1
3146,茠,jau1
3147,蒿,hou1
3148,嚆,hou1
3149,薅,hou1
3150,薧,haau2
3151,薧,hou1
3152,蚝,ci3
3153,蚝,hou4
3154,毫,hou4
3155,嗥,hou4
3156,豪,hou4
3157,嚎,hou4
3158,壕,hou4
3159,濠,hou4
3160,好,hou2
3161,好,hou3
3162,郝,gok3
3163,郝,kok3
3164,号,hou4
3165,号,hou6
3166,昊,hou6
3167,昦,hou6
3168,秏,hou3
3169,浩,hou6
3170,耗,hou3
3171,淏,hou6
3172,皓,gou2
3173,皓,hou6
3174,滈,hou6
3175,澔,hou6
3176,皜,hou6
3177,皞,hou6
3178,薃,hou6
3179,颢,hou6
3180,灏,hou6
3181,鰝,hou6
3182,诃,ho1
3183,呵,ho1
3184,呵,ho2
3185,欱,hap6
3186,喝,hot3
3187,禾,wo4
3188,合,gap3
3189,合,hap6
3190,合,gok3
3191,何,ho4
3192,何,ho6
3193,劾,hat6
3194,和,wo4
3195,和,wo6
3196,河,ho4
3197,峆,gap3
3198,曷,hot3
3199,籺,hat6
3200,阂,hat6
3201,阂,ngoi6
3202,核,hat6
3203,核,wat6
3204,盉,wo4
3205,盍,hap6
3206,荷,ho4
3207,荷,ho6
3208,涸,kok3
3209,盒,haap6
3210,盒,hap6
3211,菏,go1
3212,菏,ho4
3213,蚵,ho4
3214,龁,hat6
3215,颌,gap3
3216,颌,hap6
3217,毼,hot3
3218,貉,mak6
3219,貉,hok6
3220,鉌,wo4
3221,阖,hap6
3222,鹖,hot3
3223,麧,hat6
3224,翮,hat6
3225,礉,hat6
3226,鞨,hot3
3227,龢,wo4
3228,贺,ho6
3229,嗃,haau1
3230,嗃,haau3
3231,嗃,hok3
3232,熇,hok3
3233,熇,huk6
3234,褐,hot3
3235,赫,haak1
3236,赫,hak1
3237,鹤,hok6
3238,翯,hok6
3239,壑,kok3
3240,齃,aat3
3241,齃,ngaat3
3242,黑,haak1
3243,黑,hak1
3244,嘿,hei1
3245,拫,han4
3246,痕,han4
3247,佷,han2
3248,很,han2
3249,狠,han2
3250,恨,han6
3251,亨,paang1
3252,亨,hang1
3253,哼,hang1
3254,哼,hng6
3255,脝,hang1
3256,姮,hang4
3257,恒,hang4
3258,桁,haang4
3259,桁,hang4
3260,珩,hang4
3261,胻,hang4
3262,横,waang4
3263,横,waang6
3264,衡,waang4
3265,衡,hang4
3266,蘅,hang4
3267,啈,hang1
3268,囍,hei2
3269,灴,hung3
3270,轰,gwang1
3271,哄,hung3
3272,哄,hung6
3273,訇,gwang1
3274,烘,hong3
3275,烘,hung1
3276,烘,hung4
3277,揈,fang4
3278,揈,gwang1
3279,渹,gwang1
3280,薨,gwang1
3281,輷,gwang1
3282,鍧,gwang1
3283,弘,wang4
3284,红,gung1
3285,红,hung4
3286,吰,wang4
3287,宏,wang4
3288,汯,wang4
3289,纮,wang4
3290,闳,wang4
3291,泓,wang4
3292,洪,hung4
3293,竑,wang4
3294,荭,hung4
3295,虹,hung4
3296,浤,wang4
3297,翃,wang4
3298,耾,wang4
3299,谹,wang4
3300,鸿,hung4
3301,鈜,wang4
3302,谼,hung4
3303,鞃,wang4
3304,魟,gung1
3305,魟,hung4
3306,篊,hung4
3307,鋐,wang4
3308,彋,wang4
3309,蕻,hung4
3310,蕻,hung6
3311,黉,hung4
3312,讧,hung3
3313,讧,hung4
3314,澒,hung6
3315,齁,hau1
3316,侯,hau4
3317,喉,hau4
3318,猴,hau4
3319,瘊,hau4
3320,銗,hau4
3321,篌,hau4
3322,糇,hau4
3323,翭,hau4
3324,鍭,hau4
3325,鯸,hau4
3326,吼,haau1
3327,吼,hau3
3328,吽,hung1
3329,后,hau6
3330,郈,hau6
3331,厚,hau5
3332,垕,hau5
3333,逅,hau6
3334,候,hau6
3335,鄇,hau6
3336,堠,hau6
3337,鲎,hau6
3338,乎,fu1
3339,乎,fu4
3340,乎,wu4
3341,虍,fu1
3342,呼,fu1
3343,忽,fat1
3344,昒,fat1
3345,曶,fat1
3346,惚,fat1
3347,淴,fat1
3348,虖,fu1
3349,寣,fu1
3350,滹,fu1
3351,幠,fu1
3352,歑,fu1
3353,膴,mou5
3354,膴,fu1
3355,謼,fu1
3356,囫,fat1
3357,抇,wat6
3358,弧,wu4
3359,狐,wu4
3360,胡,wu4
3361,壶,wu4
3362,斛,huk6
3363,搰,wat6
3364,湖,wu4
3365,猢,wu4
3366,葫,wu4
3367,楜,wu4
3368,瑚,wu4
3369,嘝,huk6
3370,鹕,wu4
3371,槲,huk6
3372,糊,wu4
3373,蝴,wu4
3374,魱,wu4
3375,縠,huk6
3376,醐,wu4
3377,觳,huk6
3378,餬,wu4
3379,瀫,huk6
3380,鶦,wu4
3381,虎,fu2
3382,浒,wu2
3383,唬,fu2
3384,琥,fu2
3385,箎,ci4
3386,互,wu6
3387,户,wu6
3388,冱,wu6
3389,芐,haa6
3390,芐,wu6
3391,护,wu6
3392,沪,wu6
3393,岵,wu6
3394,怙,wu6
3395,戽,fu3
3396,枑,wu6
3397,祜,wu2
3398,笏,fat1
3399,扈,wu6
3400,瓠,wok6
3401,瓠,wu4
3402,瓠,wu6
3403,鄠,wu6
3404,嫭,wu6
3405,嫮,wu6
3406,韄,waak6
3407,韄,wu6
3408,頀,wu6
3409,花,faa1
3410,蘤,faa1
3411,华,faa1
3412,华,waa4
3413,华,waa6
3414,哗,waa1
3415,哗,waa4
3416,哗,jip6
3417,骅,waa4
3418,铧,waa4
3419,滑,waat6
3420,滑,gwat1
3421,猾,waat6
3422,鋘,waa4
3423,鋘,ng4
3424,化,faa3
3425,划,waa4
3426,划,waak6
3427,杹,faa3
3428,画,waa2
3429,画,waa6
3430,画,waak6
3431,话,waa6
3432,崋,waa6
3433,桦,waa4
3434,桦,waa6
3435,婳,waak6
3436,觟,waa6
3437,觟,haai6
3438,摦,waa6
3439,槬,waa6
3440,繣,waak6
3441,怀,waai4
3442,徊,wui4
3443,淮,waai4
3444,槐,waai4
3445,褢,waai4
3446,踝,waa5
3447,褱,waai4
3448,櫰,waai4
3449,蘹,waai4
3450,坏,waai6
3451,坏,pui4
3452,咶,saai5
3453,蘾,waai6
3454,欢,fun1
3455,懁,hyun1
3456,嚾,fun1
3457,獾,fun1
3458,讙,fun1
3459,驩,fun1
3460,还,waan4
3461,还,syun4
3462,环,waan4
3463,郇,seon1
3464,峘,wun4
3465,洹,wun4
3466,洹,jyun4
3467,狟,wun4
3468,荁,wun4
3469,桓,wun4
3470,萑,wun4
3471,雈,wun4
3472,羦,wun4
3473,貆,wun4
3474,锾,waan4
3475,阛,waan4
3476,寰,waan4
3477,澴,waan4
3478,缳,waan4
3479,缳,waan6
3480,缳,jyun6
3481,豲,wun4
3482,镮,waan4
3483,轘,waan6
3484,鬟,waan4
3485,瓛,wun4
3486,睆,wun2
3487,缓,wun4
3488,缓,wun6
3489,輐,wun6
3490,攌,waan6
3491,幻,waan6
3492,奂,wun6
3493,宦,waan6
3494,唤,wun6
3495,换,wun6
3496,浣,wun2
3497,浣,wun5
3498,涣,wun6
3499,患,waan6
3500,焕,wun6
3501,逭,wun6
3502,痪,wun6
3503,豢,waan6
3504,漶,waan6
3505,鲩,waan5
3506,擐,gwaan3
3507,澣,wun5
3508,巟,fong1
3509,肓,fong1
3510,荒,fong1
3511,衁,fong1
3512,慌,fong1
3513,皇,wong4
3514,偟,wong4
3515,凰,wong4
3516,隍,wong4
3517,黄,wong4
3518,喤,wong4
3519,堭,wong4
3520,徨,wong4
3521,惶,wong4
3522,湟,wong4
3523,遑,wong4
3524,煌,wong4
3525,潢,wong4
3526,锽,wong4
3527,璜,wong4
3528,篁,wong4
3529,艎,wong4
3530,蝗,wong4
3531,磺,wong4
3532,簧,wong4
3533,蟥,wong4
3534,餭,wong4
3535,鳇,wong4
3536,趪,wong4
3537,騜,wong4
3538,怳,fong2
3539,恍,fong2
3540,晃,fong2
3541,谎,fong1
3542,谎,fong2
3543,幌,fong2
3544,熀,fong2
3545,滉,fong2
3546,榥,fong2
3547,皝,fong2
3548,灰,fui1
3549,诙,fui1
3550,恢,fui1
3551,挥,fai1
3552,虺,wai2
3553,虺,fui1
3554,袆,fai1
3555,晖,fai1
3556,珲,wan4
3557,豗,fui1
3558,翚,fai1
3559,辉,fai1
3560,辉,wai1
3561,楎,fai1
3562,楎,wan4
3563,撝,fai1
3564,麾,fai1
3565,徽,fai1
3566,隳,fai1
3567,鰴,fai1
3568,回,wui4
3569,佪,wui4
3570,恛,wui4
3571,洄,wui4
3572,茴,wui4
3573,蚘,wui4
3574,痐,wui4
3575,蛔,wui4
3576,悔,fui3
3577,毇,wai2
3578,卉,wai2
3579,卉,wai5
3580,汇,wai6
3581,汇,wui6
3582,会,kui2
3583,会,wui5
3584,会,wui6
3585,讳,wai5
3586,哕,wai3
3587,哕,jyut6
3588,浍,kui2
3589,绘,kui2
3590,荟,wai3
3591,荟,kui2
3592,荟,wui3
3593,荟,wui6
3594,诲,fui3
3595,恚,wai6
3596,桧,kui2
3597,烩,wui6
3598,贿,fui2
3599,贿,kui2
3600,彗,wai6
3601,彗,seoi6
3602,晦,fui3
3603,秽,wai3
3604,喙,fui3
3605,惠,wai6
3606,缋,kui2
3607,翙,wai3
3608,阓,gwai6
3609,阓,kui2
3610,毁,wai2
3611,嘒,wai3
3612,瘣,waai6
3613,蔧,wai6
3614,蔧,seoi6
3615,慧,wai3
3616,慧,wai6
3617,憓,wai6
3618,槥,wai6
3619,槥,seoi6
3620,蕙,wai6
3621,橞,wai6
3622,獩,wai3
3623,薉,wai3
3624,篲,seoi6
3625,蟪,wai6
3626,譓,wai6
3627,顪,fui3
3628,昏,fan1
3629,荤,fan1
3630,婚,fan1
3631,惛,fan1
3632,涽,fan1
3633,阍,fan1
3634,棔,fan1
3635,殙,fan1
3636,睧,fan1
3637,浑,wan4
3638,浑,wan6
3639,馄,wan4
3640,魂,wan4
3641,鼲,wan4
3642,诨,wan6
3643,圂,wan6
3644,掍,gwan2
3645,掍,wan6
3646,混,wan6
3647,溷,wan6
3648,慁,wan6
3649,吙,fo2
3650,豁,kut3
3651,攉,fok3
3652,騞,waak6
3653,佸,wut6
3654,活,wut6
3655,火,fo2
3656,伙,fo2
3657,钬,fo2
3658,漷,gwok3
3659,或,waak6
3660,货,fo3
3661,获,waai4
3662,获,wok6
3663,获,wu6
3664,祸,wo5
3665,祸,wo6
3666,惑,waak6
3667,湱,waak6
3668,嗀,hok3
3669,嚄,o2
3670,嚄,wok6
3671,擭,wok6
3672,濩,wok6
3673,霍,fok3
3674,檴,wok6
3675,謋,waak6
3676,雘,wok3
3677,镬,wok6
3678,藿,fok3
3679,蠖,wok6
3680,嚿,geu6
3681,臛,fok3
3682,矐,hok6
3683,丌,gei1
3684,讥,gei1
3685,击,gik1
3686,刉,gei1
3687,叽,gei1
3688,饥,gei1
3689,乩,gei1
3690,圾,saap3
3691,圾,kap1
3692,机,gei1
3693,机,gei2
3694,玑,gei1
3695,肌,gei1
3696,芨,gap1
3697,矶,gei1
3698,鸡,gai1
3699,枅,gai1
3700,咭,kaat1
3701,咭,gat1
3702,迹,zek3
3703,迹,zik1
3704,剞,gei1
3705,剞,gei2
3706,唧,zek1
3707,唧,zik1
3708,姬,gei1
3709,屐,kek6
3710,积,zik1
3711,笄,gai1
3712,基,gei1
3713,绩,zek3
3714,绩,zik1
3715,嵇,kai1
3716,攲,kei1
3717,犄,gei1
3718,缉,cap1
3719,赍,zai1
3720,畸,gei1
3721,畸,kei1
3722,稘,gei1
3723,跻,zai1
3724,箕,gei1
3725,畿,gei1
3726,稽,kai1
3727,稽,kai2
3728,觭,gei1
3729,觭,kei1
3730,齑,zai1
3731,墼,gik1
3732,激,gik1
3733,禨,gei1
3734,錤,gei1
3735,隮,zai1
3736,羁,gei1
3737,櫅,zai1
3738,鐖,gei1
3739,癪,zik1
3740,鞿,gei1
3741,羇,gei1
3742,虀,zai1
3743,及,gap6
3744,及,kap6
3745,伋,kap1
3746,吉,gat1
3747,岌,gap6
3748,岌,kap1
3749,忣,gap1
3750,汲,kap1
3751,级,kap1
3752,即,zik1
3753,极,kap1
3754,极,gik6
3755,亟,kei3
3756,亟,gik1
3757,佶,gat1
3758,佶,git3
3759,姞,gat1
3760,急,gap1
3761,笈,kap1
3762,揤,zat1
3763,揤,zeot1
3764,疾,zat6
3765,楖,zik1
3766,谻,goek3
3767,戢,cap1
3768,棘,gik1
3769,殛,gik1
3770,集,zaap6
3771,嫉,zat6
3772,楫,zip3
3773,蒺,zat6
3774,蝍,zik1
3775,趌,gat6
3776,辑,cap1
3777,耤,zik6
3778,膌,zek3
3779,瘠,zik3
3780,蕺,cap1
3781,踖,zik1
3782,鹡,zik3
3783,濈,cap1
3784,襋,gik1
3785,蹐,zik3
3786,籍,zik6
3787,轚,gik1
3788,躤,zik6
3789,几,gei1
3790,几,gei2
3791,己,gei2
3792,泲,zai3
3793,泲,zi2
3794,虮,gei2
3795,挤,zai1
3796,脊,zek3
3797,脊,zik3
3798,掎,gei2
3799,戟,gik1
3800,麂,gei2
3801,撠,gik1
3802,计,gai3
3803,计,gei3
3804,记,gei3
3805,伎,gei6
3806,纪,gei2
3807,纪,gei3
3808,妓,gei6
3809,忌,gei6
3810,技,gei6
3811,芰,gei6
3812,芶,gau2
3813,际,zai3
3814,剂,zai1
3815,剂,zai6
3816,季,gwai3
3817,哜,zai6
3818,既,gei3
3819,洎,gei3
3820,洎,gei6
3821,济,zai2
3822,济,zai3
3823,紒,gai3
3824,继,gai3
3825,觊,gei3
3826,偈,gai6
3827,偈,git6
3828,寂,zik6
3829,寄,gei3
3830,徛,gei3
3831,悸,gwai3
3832,祭,zai3
3833,惎,gei6
3834,臮,kei3
3835,蔇,gei3
3836,痵,gwai3
3837,蓟,gai3
3838,暨,kei3
3839,漃,zik6
3840,漈,zai3
3841,穊,gei3
3842,誋,gei6
3843,跽,gei6
3844,霁,zai3
3845,鲚,cai5
3846,稷,zik1
3847,鲫,zik1
3848,冀,kei3
3849,穄,zai3
3850,髻,gai3
3851,檕,hai6
3852,罽,gai3
3853,鮆,zai1
3854,鵋,gei6
3855,齌,zai1
3856,癠,zik3
3857,穧,zai6
3858,骥,kei3
3859,鯚,gwai3
3860,瀱,gai3
3861,蘮,gai3
3862,鰶,man5
3863,鰿,zik1
3864,加,gaa1
3865,加,gaa3
3866,夹,gaap3
3867,夹,gap3
3868,夹,gep6
3869,夹,gip6
3870,佳,gaai1
3871,泇,gaa1
3872,迦,gaa1
3873,枷,gaa1
3874,浃,gaap3
3875,浃,zip3
3876,珈,gaa1
3877,家,gaa1
3878,家,gu1
3879,痂,gaa1
3880,痂,ge1
3881,梜,gaap3
3882,笳,gaa1
3883,耞,gaa1
3884,袈,gaa1
3885,袷,gaap3
3886,葭,gaa1
3887,跏,gaa1
3888,犌,gaa1
3889,嘉,gaa1
3890,镓,gaa1
3891,豭,gaa1
3892,岬,gaap3
3893,郏,gaap3
3894,荚,gaap3
3895,恝,aat3
3896,恝,gaat3
3897,戛,aat3
3898,戛,gaat3
3899,铗,gaap3
3900,蛱,gaap3
3901,颊,gaap3
3902,颊,haap3
3903,跲,gaap3
3904,甲,gaap3
3905,胛,gaap3
3906,贾,gaa2
3907,贾,gu2
3908,钾,gaap3
3909,斝,gaa2
3910,椵,gaa1
3911,椵,gaa2
3912,榎,gaa2
3913,槚,gaa2
3914,瘕,gaa2
3915,瘕,haa4
3916,价,gaa3
3917,价,gaai3
3918,驾,gaa3
3919,架,gaa3
3920,假,gaa2
3921,假,gaa3
3922,嫁,gaa3
3923,幏,gaa3
3924,稼,gaa3
3925,戋,zin1
3926,奸,gaan1
3927,尖,zim1
3928,幵,hin1
3929,坚,gin1
3930,歼,cim1
3931,间,gaan1
3932,间,gaan3
3933,肩,gin1
3934,艰,gaan1
3935,兼,gim1
3936,监,gaam1
3937,监,gaam3
3938,笺,zin1
3939,菅,gaan1
3940,菺,gin1
3941,豜,gin1
3942,湔,zin1
3943,犍,gin1
3944,缄,gaam1
3945,缄,zin1
3946,葌,gaan1
3947,靬,gin1
3948,搛,gim1
3949,椷,gaam1
3950,煎,zin1
3951,瑊,zam1
3952,缣,gim1
3953,蒹,gim1
3954,蕑,gaan1
3955,鲣,gin1
3956,鹣,gim1
3957,熸,zim1
3958,鞬,gin1
3959,鞯,zin1
3960,鳒,gim1
3961,礛,laam4
3962,鵳,gin1
3963,瀸,zim1
3964,鰔,zam1
3965,櫼,cim1
3966,籛,zin1
3967,囝,naam4
3968,囝,zai2
3969,拣,gaan2
3970,俭,gim6
3971,柬,gaan2
3972,茧,gaan2
3973,茧,gin2
3974,捡,gim2
3975,笕,gaan2
3976,减,gaam2
3977,剪,zin2
3978,帴,zin1
3979,帴,zin2
3980,检,gim2
3981,趼,gin2
3982,揃,zin1
3983,揃,zin2
3984,睑,gim2
3985,睑,lim4
3986,简,gaan2
3987,谫,zin2
3988,戬,zin2
3989,碱,gaan2
3990,翦,zin2
3991,襉,gaan2
3992,謇,gin2
3993,謇,hin1
3994,蹇,gin2
3995,鬋,zin1
3996,襺,gaan2
3997,见,gin3
3998,见,jin6
3999,件,gin6
4000,建,gin3
4001,饯,zin3
4002,剑,gim3
4003,洊,zin3
4004,牮,zin3
4005,荐,zin3
4006,贱,zin6
4007,俴,cin5
4008,健,gin6
4009,栫,zin3
4010,涧,gaan3
4011,舰,laam6
4012,渐,zim1
4013,渐,zim6
4014,谏,gaan3
4015,楗,gin6
4016,毽,gin3
4017,溅,zin3
4018,腱,gin3
4019,葥,zin3
4020,跈,nin2
4021,践,cin5
4022,践,zin6
4023,鉴,gaam3
4024,键,gin6
4025,僭,cim3
4026,僭,cim5
4027,僭,zim3
4028,槛,haam5
4029,槛,laam6
4030,箭,zin3
4031,諓,zin2
4032,瞷,gaan3
4033,螹,zim6
4034,轞,laam6
4035,江,gong1
4036,姜,goeng1
4037,将,zoeng1
4038,将,zoeng3
4039,茳,gong1
4040,浆,zoeng1
4041,豇,gong1
4042,僵,goeng1
4043,螀,zoeng1
4044,缰,goeng1
4045,橿,goeng1
4046,殭,goeng1
4047,礓,goeng1
4048,疆,goeng1
4049,讲,gong2
4050,奖,zoeng2
4051,桨,zoeng2
4052,蒋,zoeng2
4053,耩,gong2
4054,膙,zoeng2
4055,顜,gong2
4056,匠,zoeng6
4057,降,gong3
4058,降,hong4
4059,洚,gong3
4060,绛,gong3
4061,弶,koeng5
4062,酱,zoeng3
4063,嵹,koeng4
4064,糨,goeng6
4065,艽,kau4
4066,交,gaau1
4067,郊,gaau1
4068,姣,gaau2
4069,姣,haau4
4070,娇,giu1
4071,浇,giu1
4072,浇,hiu1
4073,茭,gaau1
4074,骄,giu1
4075,胶,gaau1
4076,椒,ziu1
4077,焦,ziu1
4078,蛟,gaau1
4079,跤,gaau1
4080,僬,ziu1
4081,鲛,gaau1
4082,嶕,ciu4
4083,憍,giu1
4084,蕉,ziu1
4085,燋,ciu4
4086,燋,ziu1
4087,膲,ziu1
4088,礁,ziu1
4089,鵁,gaau1
4090,鹪,ziu1
4091,蟭,ziu1
4092,轇,gaau1
4093,鐎,ziu1
4094,鷮,kiu1
4095,角,gok3
4096,角,luk6
4097,佼,gaau2
4098,侥,giu2
4099,侥,hiu1
4100,侥,jiu4
4101,挢,giu2
4102,狡,gaau2
4103,绞,gaau2
4104,饺,gaau2
4105,皎,gaau2
4106,矫,giu2
4107,矫,kiu2
4108,脚,goek3
4109,铰,gaau2
4110,搅,gaau2
4111,湫,ziu2
4112,湫,zau1
4113,筊,gaau2
4114,剿,caau1
4115,剿,ziu2
4116,煍,ciu2
4117,摷,ziu6
4118,儌,giu1
4119,儌,giu2
4120,徼,giu2
4121,徼,giu3
4122,徼,jiu1
4123,敿,giu2
4124,缴,giu2
4125,缴,zoek3
4126,皦,giu2
4127,蟜,giu2
4128,鱎,giu2
4129,叫,giu3
4130,峤,giu6
4131,珓,gaau3
4132,窌,gaau3
4133,轿,giu6
4134,较,gaau3
4135,教,gaau1
4136,教,gaau3
4137,窖,gaau3
4138,滘,gaau3
4139,嘂,giu3
4140,斠,gaau3
4141,斠,gok3
4142,酵,gaau3
4143,酵,haau3
4144,噭,giu3
4145,趭,ziu3
4146,醮,ziu3
4147,譥,giu3
4148,皭,ziu3
4149,皭,zoek6
4150,釂,ziu3
4151,阶,gaai1
4152,疖,zit3
4153,皆,gaai1
4154,接,zip3
4155,痎,gaai1
4156,秸,gaai1
4157,菨,cip3
4158,喈,gaai1
4159,嗟,ze1
4160,揭,kit3
4161,椄,zip3
4162,湝,gaai1
4163,街,gaai1
4164,蝔,gaai1
4165,孑,kit3
4166,节,zit3
4167,讦,kit3
4168,劫,gip3
4169,岊,zit3
4170,劼,kit3
4171,杰,git6
4172,疌,zit3
4173,衱,gik3
4174,诘,kit3
4175,拮,git3
4176,洁,git3
4177,结,git3
4178,结,lit3
4179,倢,zit3
4180,桀,git6
4181,婕,zit3
4182,捷,zit3
4183,捷,zit6
4184,袺,git3
4185,蛣,kit3
4186,颉,git3
4187,颉,kit3
4188,楬,kit3
4189,楶,zit3
4190,睫,zit6
4191,截,zit6
4192,榤,git6
4193,碣,kit3
4194,竭,kit3
4195,鲒,git3
4196,羯,kit3
4197,踕,zit6
4198,她,taa1
4199,她,ji1
4200,姐,ze2
4201,解,gaai2
4202,解,gaai3
4203,解,haai6
4204,檞,gaai2
4205,檞,haai5
4206,介,gaai3
4207,戒,gaai3
4208,芥,gaai3
4209,届,gaai3
4210,玠,gaai3
4211,界,gaai3
4212,疥,gaai3
4213,诫,gaai3
4214,借,ze3
4215,蚧,gaai3
4216,骱,gaai3
4217,犗,gaai3
4218,褯,zik6
4219,藉,ze3
4220,藉,ze6
